v_delta,s_delta,EgoSpeed,EgoStartS,CollisionDetected,Filename
32.0,18.0,108.0,25.0,True,log_76_of_416.txt
34.0,18.0,108.0,25.0,True,log_77_of_416.txt
36.0,18.0,108.0,25.0,True,log_78_of_416.txt
38.0,18.0,108.0,25.0,True,log_79_of_416.txt
22.0,10.0,108.0,25.0,True,log_7_of_416.txt
40.0,18.0,108.0,25.0,True,log_80_of_416.txt
10.0,20.0,108.0,25.0,True,log_81_of_416.txt
12.0,20.0,108.0,25.0,True,log_82_of_416.txt
14.0,20.0,108.0,25.0,True,log_83_of_416.txt
16.0,20.0,108.0,25.0,True,log_84_of_416.txt
18.0,20.0,108.0,25.0,True,log_85_of_416.txt
20.0,20.0,108.0,25.0,True,log_86_of_416.txt
22.0,20.0,108.0,25.0,True,log_87_of_416.txt
24.0,20.0,108.0,25.0,True,log_88_of_416.txt
26.0,20.0,108.0,25.0,True,log_89_of_416.txt
24.0,10.0,108.0,25.0,True,log_8_of_416.txt
28.0,20.0,108.0,25.0,True,log_90_of_416.txt
30.0,20.0,108.0,25.0,True,log_91_of_416.txt
32.0,20.0,108.0,25.0,True,log_92_of_416.txt
34.0,20.0,108.0,25.0,True,log_93_of_416.txt
36.0,20.0,108.0,25.0,True,log_94_of_416.txt
38.0,20.0,108.0,25.0,True,log_95_of_416.txt
40.0,20.0,108.0,25.0,True,log_96_of_416.txt
10.0,22.0,108.0,25.0,False,log_97_of_416.txt
12.0,22.0,108.0,25.0,True,log_98_of_416.txt
14.0,22.0,108.0,25.0,True,log_99_of_416.txt
26.0,10.0,108.0,25.0,True,log_9_of_416.txt
